item_name,date,time,period,purchase_cost,branch_location
Milk Burfi,2025-06-05,10:11:47,Morning,745.81,Indiranagar
Kaju Katli,2024-10-02,10:46:50,Morning,638.61,RR Nagar
Milk Burfi,2025-07-09,09:07:41,Morning,345.2,Vijayanagar
Badam Milk,2024-10-05,20:29:03,Evening,139.33,Indiranagar
Pista Roll,2024-11-25,17:10:36,Evening,2073.58,Indiranagar
Rasgulla,2025-05-24,10:09:40,Morning,70.05,Electronic City
Laddoo (Boondi),2024-01-28,15:16:21,Afternoon,737.42,Koramangala
Kesar Peda,2025-06-22,09:32:05,Morning,1392.21,Electronic City
Sohan Papdi,2024-02-25,15:34:43,Afternoon,424.41,Electronic City
Halwa (Assorted),2024-08-26,18:43:16,Evening,875.86,Vijayanagar
Jalebi,2024-10-14,12:00:59,Afternoon,256.79,Electronic City
Kaju Katli,2024-01-26,13:24:35,Afternoon,1458.98,Malleswaram
Rasgulla,2024-03-30,14:21:32,Afternoon,98.09,Jayanagar
Jalebi,2024-06-28,08:18:54,Morning,459.13,Jayanagar
Kaju Katli,2025-03-22,13:57:13,Afternoon,468.91,Koramangala
Gulab Jamun,2025-05-05,08:56:11,Morning,74.9,Electronic City
Milk Burfi,2025-04-03,20:39:08,Evening,519.5,Basavanagudi
Kaju Katli,2024-06-11,09:03:37,Morning,401.46,Indiranagar
Chiroti,2024-03-15,19:58:19,Evening,213.95,HSR Layout
Samosa,2025-04-12,18:17:13,Evening,57.35,Indiranagar
Samosa,2025-05-07,14:13:02,Afternoon,68.07,Basavanagudi
Rasgulla,2025-02-07,17:30:13,Evening,46.53,Indiranagar
Milk Burfi,2025-05-05,13:01:38,Afternoon,675.96,Koramangala
Pista Roll,2025-01-20,18:35:43,Evening,828.6,HSR Layout
Halwa (Assorted),2024-10-19,13:41:47,Afternoon,783.05,Vijayanagar
Jalebi,2024-02-22,22:30:57,Night,390.31,Indiranagar
Kesar Peda,2024-04-17,08:57:37,Morning,726.71,Jayanagar
Samosa,2024-12-04,15:49:09,Afternoon,32.3,Indiranagar
Milk Burfi,2024-07-16,11:13:53,Morning,363.81,Jayanagar
Milk Burfi,2024-10-26,09:01:39,Morning,818.75,RR Nagar
Gulab Jamun,2025-01-25,15:25:54,Afternoon,66.1,Vijayanagar
Milk Burfi,2025-04-02,09:20:44,Morning,638.24,RR Nagar
Kaju Katli,2024-08-19,18:11:26,Evening,1603.62,Basavanagudi
Halwa (Assorted),2025-04-02,14:11:29,Afternoon,688.84,Indiranagar
Sohan Papdi,2025-01-08,08:08:14,Morning,769.79,Koramangala
Samosa,2024-12-17,10:44:07,Morning,35.94071081645488,Vijayanagar
Jalebi,2024-06-06,20:38:07,Evening,302.42,Jayanagar
Halwa (Assorted),2025-05-02,11:06:19,Morning,648.03,HSR Layout
Mysore Pak,2024-09-28,10:59:08,Morning,727.25,Indiranagar
Mysore Pak,2024-05-06,16:28:31,Afternoon,631.01,HSR Layout
Dharwad Peda,2024-08-06,09:00:45,Morning,1311.52,Electronic City
Gulab Jamun,2025-05-13,22:43:45,Night,133.41,HSR Layout
