transaction_id,item_name,date,time,period,purchase_cost,branch_location
TXN100000,Milk Burfi,2025-06-05,10:11:47,Morning,745.81,Indiranagar
TXN100001,Kaju Katli,2024-10-02,10:46:50,Morning,638.61,RR Nagar
TXN100002,Milk Burfi,2025-07-09,09:07:41,Morning,345.2,Vijayanagar
TXN100003,Badam Milk,2024-10-05,20:29:03,Evening,139.33,Indiranagar
TXN100004,Pista Roll,2024-11-25,17:10:36,Evening,2073.58,Indiranagar
TXN100005,Rasgulla,2025-05-24,10:09:40,Morning,70.05,Electronic City
TXN100006,Laddoo (Boondi),2024-01-28,15:16:21,Afternoon,737.42,Koramangala
TXN100007,Kesar Peda,2025-06-22,09:32:05,Morning,1392.21,Electronic City
TXN100008,Sohan Papdi,2024-02-25,15:34:43,Afternoon,424.41,Electronic City
TXN100009,Halwa (Assorted),2024-08-26,18:43:16,Evening,875.86,Vijayanagar
TXN100010,Jalebi,2024-10-14,12:00:59,Afternoon,256.79,Electronic City
TXN100011,Kaju Katli,2024-01-26,13:24:35,Afternoon,1458.98,Malleswaram
TXN100012,Rasgulla,2024-03-30,14:21:32,Afternoon,98.09,Jayanagar
TXN100013,Jalebi,2024-06-28,08:18:54,Morning,459.13,Jayanagar
TXN100014,Kaju Katli,2025-03-22,13:57:13,Afternoon,468.91,Koramangala
TXN100015,Gulab Jamun,2025-05-05,08:56:11,Morning,74.9,Electronic City
TXN100016,Milk Burfi,2025-04-03,20:39:08,Evening,519.5,Basavanagudi
TXN100017,Kaju Katli,2024-06-11,09:03:37,Morning,401.46,Indiranagar
TXN100018,Chiroti,2024-03-15,19:58:19,Evening,213.95,HSR Layout
TXN100019,Samosa,2025-04-12,18:17:13,Evening,57.35,Indiranagar
TXN100020,Samosa,2025-05-07,14:13:02,Afternoon,68.07,Basavanagudi
TXN100021,Rasgulla,2025-02-07,17:30:13,Evening,46.53,Indiranagar
TXN100022,Milk Burfi,2025-05-05,13:01:38,Afternoon,675.96,Koramangala
TXN100023,Pista Roll,2025-01-20,18:35:43,Evening,828.6,HSR Layout
TXN100024,Halwa (Assorted),2024-10-19,13:41:47,Afternoon,783.05,Vijayanagar
TXN100025,Jalebi,2024-02-22,22:30:57,Night,390.31,Indiranagar
TXN100026,Kesar Peda,2024-04-17,08:57:37,Morning,726.71,Jayanagar
TXN100027,Samosa,2024-12-04,15:49:09,Afternoon,32.3,Indiranagar
TXN100028,Milk Burfi,2024-07-16,11:13:53,Morning,363.81,Jayanagar
TXN100029,Milk Burfi,2024-10-26,09:01:39,Morning,818.75,RR Nagar
TXN100030,Gulab Jamun,2025-01-25,15:25:54,Afternoon,66.1,Vijayanagar
TXN100031,Milk Burfi,2025-04-02,09:20:44,Morning,638.24,RR Nagar
TXN100032,Kaju Katli,2024-08-19,18:11:26,Evening,1603.62,Basavanagudi
TXN100033,Halwa (Assorted),2025-04-02,14:11:29,Afternoon,688.84,Indiranagar
TXN100034,Sohan Papdi,2025-01-08,08:08:14,Morning,769.79,Koramangala
TXN100035,Samosa,2024-12-17,10:44:07,Morning,35.94071081645488,Vijayanagar
TXN100036,Jalebi,2024-06-06,20:38:07,Evening,302.42,Jayanagar
TXN100037,Halwa (Assorted),2025-05-02,11:06:19,Morning,648.03,HSR Layout
TXN100038,Mysore Pak,2024-09-28,10:59:08,Morning,727.25,Indiranagar
TXN100039,Mysore Pak,2024-05-06,16:28:31,Afternoon,631.01,HSR Layout
TXN100040,Dharwad Peda,2024-08-06,09:00:45,Morning,1311.52,Electronic City
TXN100041,Gulab Jamun,2025-05-13,22:43:45,Night,133.41,HSR Layout
TXN100042,Laddoo (Boondi),2024-12-16,20:24:24,Evening,538.0,Basavanagudi
TXN100043,Mysore Pak,2025-02-01,18:01:46,Evening,299.43,Vijayanagar
TXN100044,Kaju Katli,2024-04-30,14:33:11,Afternoon,512.11,RR Nagar
TXN100045,Pista Roll,2025-01-07,11:14:04,Morning,1468.57,Koramangala
TXN100046,Dharwad Peda,2024-03-23,20:17:43,Evening,784.29,Electronic City
TXN100047,Kesar Peda,2024-02-23,20:21:10,Evening,1269.91,Electronic City
TXN100048,Chiroti,2025-02-07,15:53:46,Afternoon,167.24,Electronic City
TXN100049,Dharwad Peda,2024-02-23,09:19:31,Morning,1043.2,Koramangala
TXN100050,Gulab Jamun,2024-02-01,16:47:11,Afternoon,40.62,Vijayanagar
TXN100051,Jalebi,2024-01-24,22:36:49,Night,597.49,Electronic City
TXN100052,Laddoo (Boondi),2025-04-11,10:28:49,Morning,867.31,Vijayanagar
TXN100053,Kaju Katli,2024-09-16,19:06:11,Evening,1383.55,Basavanagudi
TXN100054,Badam Milk,2024-11-15,11:15:23,Morning,238.91,RR Nagar
